memory_tag,title,postal_area
HR,"Hampshire & Dorset","Bournemouth, Portsmouth"
HS,"Hampshire & Dorset","Bournemouth, Portsmouth"
HT,"Hampshire & Dorset","Bournemouth, Portsmouth"
HU,"Hampshire & Dorset","Bournemouth, Portsmouth"
HV,"Hampshire & Dorset","Bournemouth, Portsmouth"
HW,"Hampshire & Dorset","Bournemouth, Portsmouth"
HX,"Hampshire & Dorset","Bournemouth, Portsmouth"
HY,"Hampshire & Dorset","Bournemouth, Portsmouth"
HW,"Isle of Wight","Isle of Wight"
KA,,"Borehamwood, Northampton"
KB,,"Borehamwood, Northampton"
KC,,"Borehamwood, Northampton"
KD,,"Borehamwood, Northampton"
KE,,"Borehamwood, Northampton"
KF,,"Borehamwood, Northampton"
KG,,"Borehamwood, Northampton"
KH,,"Borehamwood, Northampton"
KJ,,"Borehamwood, Northampton"
KK,,"Borehamwood, Northampton"
KL,,"Borehamwood, Northampton"
KM,,"Borehamwood, Northampton"
KN,,"Borehamwood, Northampton"
KO,,"Borehamwood, Northampton"
KP,,"Borehamwood, Northampton"
KR,,"Borehamwood, Northampton"
KS,,"Borehamwood, Northampton"
KT,,"Borehamwood, Northampton"
KU,,"Borehamwood, Northampton"
KV,,"Borehamwood, Northampton"
KW,,"Borehamwood, Northampton"
KX,,"Borehamwood, Northampton"
KY,,"Borehamwood, Northampton"
LA,London,"Wimbledon, Borehamwood, Sidcup"
LB,London,"Wimbledon, Borehamwood, Sidcup"
LC,London,"Wimbledon, Borehamwood, Sidcup"
LD,London,"Wimbledon, Borehamwood, Sidcup"
LE,London,"Wimbledon, Borehamwood, Sidcup"
LF,London,"Wimbledon, Borehamwood, Sidcup"
LG,London,"Wimbledon, Borehamwood, Sidcup"
LH,London,"Wimbledon, Borehamwood, Sidcup"
LJ,London,"Wimbledon, Borehamwood, Sidcup"
LK,London,"Wimbledon, Borehamwood, Sidcup"
LL,London,"Wimbledon, Borehamwood, Sidcup"
LM,London,"Wimbledon, Borehamwood, Sidcup"
LN,London,"Wimbledon, Borehamwood, Sidcup"
LO,London,"Wimbledon, Borehamwood, Sidcup"
LP,London,"Wimbledon, Borehamwood, Sidcup"
LR,London,"Wimbledon, Borehamwood, Sidcup"
LS,London,"Wimbledon, Borehamwood, Sidcup"
LT,London,"Wimbledon, Borehamwood, Sidcup"
LU,London,"Wimbledon, Borehamwood, Sidcup"
LV,London,"Wimbledon, Borehamwood, Sidcup"
LW,London,"Wimbledon, Borehamwood, Sidcup"
LX,London,"Wimbledon, Borehamwood, Sidcup"
LY,London,"Wimbledon, Borehamwood, Sidcup"
MA,"Manchester & Merseyside",Manchester
MB,"Manchester & Merseyside",Manchester
MC,"Manchester & Merseyside",Manchester
MD,"Manchester & Merseyside",Manchester
ME,"Manchester & Merseyside",Manchester
MF,"Manchester & Merseyside",Manchester
MG,"Manchester & Merseyside",Manchester
MH,"Manchester & Merseyside",Manchester
MI,"Manchester & Merseyside",Manchester
MJ,"Manchester & Merseyside",Manchester
MK,"Manchester & Merseyside",Manchester
ML,"Manchester & Merseyside",Manchester
MM,"Manchester & Merseyside",Manchester
MO,"Manchester & Merseyside",Manchester
MP,"Manchester & Merseyside",Manchester
MQ,"Manchester & Merseyside",Manchester
MR,"Manchester & Merseyside",Manchester
MS,"Manchester & Merseyside",Manchester
MT,"Manchester & Merseyside",Manchester
MU,"Manchester & Merseyside",Manchester
MV,"Manchester & Merseyside",Manchester
MW,"Manchester & Merseyside",Manchester
MX,"Manchester & Merseyside",Manchester
MY,"Manchester & Merseyside",Manchester
MN," Isle of Man","Isle of Man"
MAN," Isle of Man","Isle of Man"
NA,North,"Newcastle, Stockton"
NB,North,"Newcastle, Stockton"
NC,North,"Newcastle, Stockton"
ND,North,"Newcastle, Stockton"
NE,North,"Newcastle, Stockton"
NG,North,"Newcastle, Stockton"
NH,North,"Newcastle, Stockton"
NJ,North,"Newcastle, Stockton"
NK,North,"Newcastle, Stockton"
NL,North,"Newcastle, Stockton"
NM,North,"Newcastle, Stockton"
NN,North,"Newcastle, Stockton"
NO,North,"Newcastle, Stockton"
NP,North,"Newcastle, Stockton"
NR,North,"Newcastle, Stockton"
NS,North,"Newcastle, Stockton"
NT,North,"Newcastle, Stockton"
NU,North,"Newcastle, Stockton"
NV,North,"Newcastle, Stockton"
NW,North,"Newcastle, Stockton"
NX,North,"Newcastle, Stockton"
NY,North,"Newcastle, Stockton"
OA,Oxford,Oxford
OB,Oxford,Oxford
OC,Oxford,Oxford
OD,Oxford,Oxford
OE,Oxford,Oxford
OF,Oxford,Oxford
OG,Oxford,Oxford
OH,Oxford,Oxford
OI,Oxford,Oxford
OJ,Oxford,Oxford
OK,Oxford,Oxford
OL,Oxford,Oxford
OM,Oxford,Oxford
ON,Oxford,Oxford
OO,Oxford,Oxford
OP,Oxford,Oxford
OQ,Oxford,Oxford
OR,Oxford,Oxford
OS,Oxford,Oxford
OT,Oxford,Oxford
OU,Oxford,Oxford
OV,Oxford,Oxford
OW,Oxford,Oxford
OX,Oxford,Oxford
OY,Oxford,Oxford
PA,Preston,"Preston, Carlisle"
PB,Preston,"Preston, Carlisle"
PC,Preston,"Preston, Carlisle"
PD,Preston,"Preston, Carlisle"
PE,Preston,"Preston, Carlisle"
PF,Preston,"Preston, Carlisle"
PG,Preston,"Preston, Carlisle"
PH,Preston,"Preston, Carlisle"
PJ,Preston,"Preston, Carlisle"
PK,Preston,"Preston, Carlisle"
PL,Preston,"Preston, Carlisle"
PM,Preston,"Preston, Carlisle"
PN,Preston,"Preston, Carlisle"
PO,Preston,"Preston, Carlisle"
PP,Preston,"Preston, Carlisle"
PR,Preston,"Preston, Carlisle"
PS,Preston,"Preston, Carlisle"
PT,Preston,"Preston, Carlisle"
PU,Preston,"Preston, Carlisle"
PV,Preston,"Preston, Carlisle"
PW,Preston,"Preston, Carlisle"
PX,Preston,"Preston, Carlisle"
PY,Preston,"Preston, Carlisle"
RA,Reading,Theale
RB,Reading,Theale
RC,Reading,Theale
RD,Reading,Theale
RE,Reading,Theale
RF,Reading,Theale
RG,Reading,Theale
RH,Reading,Theale
RI,Reading,Theale
RJ,Reading,Theale
RK,Reading,Theale
RL,Reading,Theale
RM,Reading,Theale
RN,Reading,Theale
RO,Reading,Theale
RP,Reading,Theale
RQ,Reading,Theale
RR,Reading,Theale
RS,Reading,Theale
RT,Reading,Theale
RU,Reading,Theale
RV,Reading,Theale
RW,Reading,Theale
RX,Reading,Theale
RY,Reading,Theale
SA,Scotland,"Glasgow, Edinburgh, Dundee, Aberdeen, Inverness"
SB,Scotland,"Glasgow, Edinburgh, Dundee, Aberdeen, Inverness"
SC,Scotland,"Glasgow, Edinburgh, Dundee, Aberdeen, Inverness"
SD,Scotland,"Glasgow, Edinburgh, Dundee, Aberdeen, Inverness"
SE,Scotland,"Glasgow, Edinburgh, Dundee, Aberdeen, Inverness"
SF,Scotland,"Glasgow, Edinburgh, Dundee, Aberdeen, Inverness"
SG,Scotland,"Glasgow, Edinburgh, Dundee, Aberdeen, Inverness"
SH,Scotland,"Glasgow, Edinburgh, Dundee, Aberdeen, Inverness"
SJ,Scotland,"Glasgow, Edinburgh, Dundee, Aberdeen, Inverness"
SK,Scotland,"Glasgow, Edinburgh, Dundee, Aberdeen, Inverness"
SL,Scotland,"Glasgow, Edinburgh, Dundee, Aberdeen, Inverness"
SM,Scotland,"Glasgow, Edinburgh, Dundee, Aberdeen, Inverness"
SN,Scotland,"Glasgow, Edinburgh, Dundee, Aberdeen, Inverness"
SO,Scotland,"Glasgow, Edinburgh, Dundee, Aberdeen, Inverness"
SP,Scotland,"Glasgow, Edinburgh, Dundee, Aberdeen, Inverness"
SR,Scotland,"Glasgow, Edinburgh, Dundee, Aberdeen, Inverness"
SS,Scotland,"Glasgow, Edinburgh, Dundee, Aberdeen, Inverness"
ST,Scotland,"Glasgow, Edinburgh, Dundee, Aberdeen, Inverness"
SU,Scotland,"Glasgow, Edinburgh, Dundee, Aberdeen, Inverness"
SV,Scotland,"Glasgow, Edinburgh, Dundee, Aberdeen, Inverness"
SW,Scotland,"Glasgow, Edinburgh, Dundee, Aberdeen, Inverness"
SX,Scotland,"Glasgow, Edinburgh, Dundee, Aberdeen, Inverness"
SY,Scotland,"Glasgow, Edinburgh, Dundee, Aberdeen, Inverness"
VA,"Severn Valley",Worcester
VB,"Severn Valley",Worcester
VC,"Severn Valley",Worcester
VD,"Severn Valley",Worcester
VE,"Severn Valley",Worcester
VF,"Severn Valley",Worcester
VG,"Severn Valley",Worcester
VH,"Severn Valley",Worcester
VI,"Severn Valley",Worcester
VJ,"Severn Valley",Worcester
VK,"Severn Valley",Worcester
VL,"Severn Valley",Worcester
VM,"Severn Valley",Worcester
VN,"Severn Valley",Worcester
VO,"Severn Valley",Worcester
VP,"Severn Valley",Worcester
VQ,"Severn Valley",Worcester
VR,"Severn Valley",Worcester
VS,"Severn Valley",Worcester
VT,"Severn Valley",Worcester
VU,"Severn Valley",Worcester
VV,"Severn Valley",Worcester
VW,"Severn Valley",Worcester
VX,"Severn Valley",Worcester
VY,"Severn Valley",Worcester
WA,"West of England","Exeter, Truro, Bristol"
WB,"West of England","Exeter, Truro, Bristol"
WC,"West of England","Exeter, Truro, Bristol"
WD,"West of England","Exeter, Truro, Bristol"
WE,"West of England","Exeter, Truro, Bristol"
WF,"West of England","Exeter, Truro, Bristol"
WG,"West of England","Exeter, Truro, Bristol"
WH,"West of England","Exeter, Truro, Bristol"
WJ,"West of England","Exeter, Truro, Bristol"
WK,"West of England","Exeter, Truro, Bristol"
WL,"West of England","Exeter, Truro, Bristol"
WM,"West of England","Exeter, Truro, Bristol"
WN,"West of England","Exeter, Truro, Bristol"
WO,"West of England","Exeter, Truro, Bristol"
WP,"West of England","Exeter, Truro, Bristol"
WR,"West of England","Exeter, Truro, Bristol"
WS,"West of England","Exeter, Truro, Bristol"
WT,"West of England","Exeter, Truro, Bristol"
WU,"West of England","Exeter, Truro, Bristol"
WV,"West of England","Exeter, Truro, Bristol"
WW,"West of England","Exeter, Truro, Bristol"
WX,"West of England","Exeter, Truro, Bristol"
WY,"West of England","Exeter, Truro, Bristol"
YA,Yorkshire,"Leeds, Sheffield, Beverley"
YB,Yorkshire,"Leeds, Sheffield, Beverley"
YC,Yorkshire,"Leeds, Sheffield, Beverley"
YD,Yorkshire,"Leeds, Sheffield, Beverley"
YE,Yorkshire,"Leeds, Sheffield, Beverley"
YF,Yorkshire,"Leeds, Sheffield, Beverley"
YG,Yorkshire,"Leeds, Sheffield, Beverley"
YH,Yorkshire,"Leeds, Sheffield, Beverley"
YJ,Yorkshire,"Leeds, Sheffield, Beverley"
YK,Yorkshire,"Leeds, Sheffield, Beverley"
YL,Yorkshire,"Leeds, Sheffield, Beverley"
YM,Yorkshire,"Leeds, Sheffield, Beverley"
YN,Yorkshire,"Leeds, Sheffield, Beverley"
YO,Yorkshire,"Leeds, Sheffield, Beverley"
YP,Yorkshire,"Leeds, Sheffield, Beverley"
YR,Yorkshire,"Leeds, Sheffield, Beverley"
YS,Yorkshire,"Leeds, Sheffield, Beverley"
YT,Yorkshire,"Leeds, Sheffield, Beverley"
YU,Yorkshire,"Leeds, Sheffield, Beverley"
YV,Yorkshire,"Leeds, Sheffield, Beverley"
YW,Yorkshire,"Leeds, Sheffield, Beverley"
YX,Yorkshire,"Leeds, Sheffield, Beverley"
YY,Yorkshire,"Leeds, Sheffield, Beverley"
